business_id,txn_month,invoice_count,payroll_runs,revenue
BUS-000010,2026-04-01,5,0,2262.29
BUS-000010,2026-05-01,5,0,2250.11
BUS-000010,2026-06-01,7,0,2274.32
BUS-000011,2026-01-01,5,0,2382.83
BUS-000011,2026-02-01,6,0,2585.51
BUS-000011,2026-03-01,7,0,2891.21
BUS-000011,2026-04-01,7,0,2453.42
BUS-000011,2026-05-01,6,0,2776.35
BUS-000011,2026-06-01,7,0,2512.5
BUS-000012,2026-01-01,5,0,1417.71
BUS-000012,2026-02-01,4,0,1749.62
BUS-000012,2026-03-01,4,0,1799.31
BUS-000012,2026-04-01,6,0,1388.88
BUS-000012,2026-05-01,5,0,2206.06
BUS-000012,2026-06-01,5,0,1888.33
BUS-000013,2026-01-01,6,0,2813.18
BUS-000013,2026-02-01,4,0,2336.06
BUS-000013,2026-03-01,4,0,2154.81
BUS-000013,2026-04-01,6,0,2844.66
BUS-000013,2026-05-01,6,0,2807.4
BUS-000013,2026-06-01,5,0,1902.53
BUS-000014,2026-01-01,5,0,1738.6
BUS-000014,2026-02-01,4,0,2389.08
BUS-000014,2026-03-01,7,0,1984.5
BUS-000014,2026-04-01,6,0,2339.38
BUS-000014,2026-05-01,5,0,2603.78
BUS-000014,2026-06-01,6,0,2644.05
BUS-000015,2026-01-01,6,0,2329.98
BUS-000015,2026-02-01,7,0,1433.73
BUS-000015,2026-03-01,6,0,2435.75
BUS-000015,2026-04-01,4,0,1345.33
BUS-000015,2026-05-01,6,0,1713.84
BUS-000015,2026-06-01,5,0,2362.34
BUS-000016,2026-01-01,4,0,1623.75
BUS-000016,2026-02-01,4,0,2641.38
BUS-000016,2026-03-01,5,0,2580.41
BUS-000016,2026-04-01,4,0,1642.09
BUS-000016,2026-05-01,6,0,2665.46
BUS-000016,2026-06-01,5,0,1358.93
BUS-000017,2026-01-01,24,2,21375.41
BUS-000017,2026-02-01,31,3,10976.16
BUS-000017,2026-03-01,25,2,20320.25
BUS-000017,2026-04-01,38,3,18842.2
BUS-000017,2026-05-01,34,2,22707.95
BUS-000017,2026-06-01,27,1,14373.56
BUS-000018,2026-01-01,7,0,1616.04
BUS-000018,2026-02-01,5,0,1453.61
BUS-000018,2026-03-01,5,0,1296.13
BUS-000018,2026-04-01,7,0,1622.12
BUS-000018,2026-05-01,6,0,2410.22
BUS-000018,2026-06-01,6,0,1768.68
BUS-000019,2026-01-01,19,3,12268.26
BUS-000019,2026-02-01,31,2,14781.51
BUS-000019,2026-03-01,32,2,9291.7
BUS-000019,2026-04-01,28,1,13710.34
BUS-000019,2026-05-01,21,1,17188.34
BUS-000019,2026-06-01,34,3,15878.95
BUS-000020,2026-01-01,4,0,2507.07
BUS-000020,2026-02-01,6,0,2572.26
BUS-000020,2026-03-01,5,0,1640.33
BUS-000020,2026-04-01,6,0,2079.58
BUS-000020,2026-05-01,5,0,1519.93
BUS-000020,2026-06-01,4,0,2836.27
BUS-000021,2026-01-01,146,3,93888.52
BUS-000021,2026-02-01,96,5,116944.25
BUS-000021,2026-03-01,102,3,96525.22
BUS-000021,2026-04-01,151,5,74428.2
BUS-000021,2026-05-01,163,3,121597.85
BUS-000021,2026-06-01,148,4,83202.02
BUS-000022,2026-01-01,5,0,1337.16
BUS-000022,2026-02-01,6,0,2815.02
BUS-000022,2026-03-01,4,0,2417.02
BUS-000022,2026-04-01,4,0,2033.52
BUS-000022,2026-05-01,4,0,1650.16
BUS-000022,2026-06-01,5,0,2865.59
BUS-000023,2026-01-01,7,0,1644.84
BUS-000023,2026-02-01,7,0,2416.41
BUS-000023,2026-03-01,5,0,2902.43
BUS-000023,2026-04-01,7,0,2299.39
BUS-000023,2026-05-01,5,0,2352.18
BUS-000023,2026-06-01,7,0,1531.01
BUS-000024,2026-01-01,5,0,2633.59
BUS-000024,2026-02-01,5,0,2964.3
BUS-000024,2026-03-01,5,0,2409.8
BUS-000024,2026-04-01,6,0,1685.7
BUS-000024,2026-05-01,5,0,1667.93
BUS-000024,2026-06-01,5,0,2197.92
BUS-000025,2026-01-01,81,2,29487.79
BUS-000025,2026-02-01,73,1,36557.01
BUS-000025,2026-03-01,98,3,33686.07
BUS-000025,2026-04-01,105,3,18617.13
BUS-000025,2026-05-01,72,2,22923.56
BUS-000025,2026-06-01,104,1,39899.9
BUS-000026,2026-01-01,4,0,2713.36
BUS-000026,2026-02-01,5,0,1808.94
BUS-000026,2026-03-01,7,0,1907.33
BUS-000026,2026-04-01,4,0,1456.8
BUS-000026,2026-05-01,6,0,2224.03
BUS-000026,2026-06-01,5,0,1771.29
BUS-000027,2026-01-01,34,2,12804.62
BUS-000027,2026-02-01,27,2,12397.35
BUS-000027,2026-03-01,22,2,15194.0
BUS-000027,2026-04-01,36,3,10163.14
BUS-000027,2026-05-01,25,2,12460.69
BUS-000027,2026-06-01,35,2,11732.13
BUS-000028,2026-01-01,4,0,2045.61
BUS-000028,2026-02-01,5,0,1741.05
BUS-000028,2026-03-01,6,0,1375.54
BUS-000028,2026-04-01,6,0,1875.99
BUS-000028,2026-05-01,5,0,1606.51
BUS-000028,2026-06-01,6,0,2069.92
BUS-000029,2026-01-01,19,1,11240.22
BUS-000029,2026-02-01,30,2,9517.47
BUS-000029,2026-03-01,28,2,7798.74
BUS-000029,2026-04-01,24,3,14622.09
BUS-000029,2026-05-01,20,3,17358.59
BUS-000029,2026-06-01,23,1,16731.88
BUS-000030,2026-01-01,5,0,2040.24
BUS-000030,2026-02-01,5,0,2752.29
BUS-000030,2026-03-01,5,0,2546.56
BUS-000030,2026-04-01,6,0,2691.65
BUS-000030,2026-05-01,5,0,1801.42
BUS-000030,2026-06-01,4,0,2765.09
BUS-000031,2026-01-01,5,0,1661.81
BUS-000031,2026-02-01,5,0,2015.77
BUS-000031,2026-03-01,5,0,2204.85
BUS-000031,2026-04-01,4,0,1657.49
BUS-000031,2026-05-01,4,0,1804.86
BUS-000031,2026-06-01,5,0,2024.28
BUS-000032,2026-01-01,26,2,12298.91
BUS-000032,2026-02-01,32,1,11295.7
BUS-000032,2026-03-01,35,2,10820.79
BUS-000032,2026-04-01,35,2,11727.34
BUS-000032,2026-05-01,28,2,12524.43
BUS-000032,2026-06-01,32,3,13902.12
BUS-000033,2026-01-01,83,5,89471.81
BUS-000033,2026-02-01,80,3,75343.05
BUS-000033,2026-03-01,133,6,84198.29
BUS-000033,2026-04-01,114,5,76334.95
BUS-000033,2026-05-01,107,3,84590.48
BUS-000033,2026-06-01,79,4,78921.03
BUS-000034,2026-01-01,31,2,21592.16
BUS-000034,2026-02-01,28,3,16819.08
BUS-000034,2026-03-01,31,2,15845.29
BUS-000034,2026-04-01,25,2,16921.02
BUS-000034,2026-05-01,42,2,13242.99
BUS-000034,2026-06-01,39,2,22904.2
BUS-000035,2026-01-01,5,0,2842.68
BUS-000035,2026-02-01,6,0,2541.11
BUS-000035,2026-03-01,6,0,1835.96
BUS-000035,2026-04-01,6,0,2036.67
BUS-000035,2026-05-01,7,0,2522.57
BUS-000035,2026-06-01,4,0,2614.11
BUS-000036,2026-01-01,6,0,2524.6
BUS-000036,2026-02-01,6,0,1837.62
BUS-000036,2026-03-01,6,0,2864.04
BUS-000036,2026-04-01,5,0,1825.79
BUS-000036,2026-05-01,4,0,1338.93
BUS-000036,2026-06-01,5,0,2725.64
BUS-000037,2026-01-01,146,3,127402.03
BUS-000037,2026-02-01,170,4,122181.37
BUS-000037,2026-03-01,120,4,104767.07
BUS-000037,2026-04-01,105,3,96231.17
BUS-000037,2026-05-01,125,6,104525.2
BUS-000037,2026-06-01,186,2,84911.07
BUS-000038,2026-01-01,131,6,57297.42
BUS-000038,2026-02-01,77,5,93420.18
BUS-000038,2026-03-01,137,4,63199.87
BUS-000038,2026-04-01,118,4,84137.71
BUS-000038,2026-05-01,137,4,52935.63
BUS-000038,2026-06-01,125,3,79933.3
BUS-000039,2026-01-01,138,2,140789.6
BUS-000039,2026-02-01,182,5,110003.9
BUS-000039,2026-03-01,209,3,143439.66
BUS-000039,2026-04-01,226,4,82993.03
BUS-000039,2026-05-01,156,3,85975.54
BUS-000039,2026-06-01,227,3,161525.48
BUS-000040,2026-01-01,5,0,1820.25
BUS-000040,2026-02-01,6,0,2103.79
BUS-000040,2026-03-01,6,0,2251.71
BUS-000040,2026-04-01,4,0,1916.63
BUS-000040,2026-05-01,7,0,2368.1
BUS-000040,2026-06-01,4,0,1361.99
BUS-000041,2026-01-01,4,0,1318.69
BUS-000041,2026-02-01,6,0,2532.1
BUS-000041,2026-03-01,4,0,2039.27
BUS-000041,2026-04-01,4,0,1714.21
BUS-000041,2026-05-01,7,0,1409.8
BUS-000041,2026-06-01,4,0,2130.7
BUS-000042,2026-01-01,138,4,87445.2
BUS-000042,2026-02-01,110,6,70947.17
BUS-000042,2026-03-01,135,4,74849.77
BUS-000042,2026-04-01,104,3,74573.17
BUS-000042,2026-05-01,81,5,79123.03
BUS-000042,2026-06-01,96,2,67520.73
BUS-000043,2026-01-01,6,0,2982.43
BUS-000043,2026-02-01,6,0,2373.82
BUS-000043,2026-03-01,5,0,2037.56
BUS-000043,2026-04-01,5,0,2868.95
BUS-000043,2026-05-01,5,0,2045.88
BUS-000043,2026-06-01,6,0,1525.87
BUS-000044,2026-01-01,6,0,2664.06
BUS-000044,2026-02-01,6,0,2393.27
BUS-000044,2026-03-01,7,0,2271.54
BUS-000044,2026-04-01,4,0,1327.14
BUS-000044,2026-05-01,6,0,2473.16
BUS-000044,2026-06-01,5,0,1928.37
BUS-000045,2026-01-01,5,0,3000.58
BUS-000045,2026-02-01,7,0,2734.23
BUS-000045,2026-03-01,6,0,2210.3
BUS-000045,2026-04-01,5,0,2450.18
BUS-000045,2026-05-01,5,0,2235.73
BUS-000045,2026-06-01,5,0,1326.71
BUS-000046,2026-01-01,5,0,1489.94
BUS-000046,2026-02-01,4,0,2001.71
BUS-000046,2026-03-01,5,0,2036.66
BUS-000046,2026-04-01,4,0,2585.77
BUS-000046,2026-05-01,5,0,2239.25
BUS-000046,2026-06-01,6,0,2354.7
BUS-000047,2026-01-01,130,5,96438.04
BUS-000047,2026-02-01,91,2,61015.7
BUS-000047,2026-03-01,127,2,57873.58
BUS-000047,2026-04-01,117,6,77923.22
BUS-000047,2026-05-01,131,6,62082.19
BUS-000047,2026-06-01,113,4,86520.63
BUS-000048,2026-01-01,4,0,2731.34
BUS-000048,2026-02-01,4,0,1779.65
BUS-000048,2026-03-01,5,0,2561.44
BUS-000048,2026-04-01,6,0,2262.88
BUS-000048,2026-05-01,6,0,1241.22
BUS-000048,2026-06-01,4,0,2595.96
BUS-000049,2026-01-01,5,0,2686.31
BUS-000049,2026-02-01,4,0,1253.76
BUS-000049,2026-03-01,4,0,2677.03
BUS-000049,2026-04-01,6,0,2687.82
BUS-000049,2026-05-01,4,0,2004.9
BUS-000049,2026-06-01,4,0,2747.33
BUS-000050,2026-01-01,23,1,11082.27
BUS-000050,2026-02-01,24,3,14216.58
BUS-000050,2026-03-01,29,2,12111.99
BUS-000050,2026-04-01,37,3,16046.23
BUS-000050,2026-05-01,23,2,17597.55
BUS-000050,2026-06-01,34,1,12236.85
BUS-000051,2026-01-01,4,0,1941.29
BUS-000051,2026-02-01,5,0,2823.38
BUS-000051,2026-03-01,6,0,1720.65
BUS-000051,2026-04-01,6,0,2334.08
BUS-000051,2026-05-01,4,0,1828.28
BUS-000051,2026-06-01,6,0,2328.17
BUS-000052,2026-01-01,29,1,11161.25
BUS-000052,2026-02-01,24,2,22105.54
BUS-000052,2026-03-01,34,2,11678.61
BUS-000052,2026-04-01,41,3,12109.67
BUS-000052,2026-05-01,40,1,17760.72
BUS-000052,2026-06-01,37,2,21533.43
BUS-000053,2026-01-01,5,0,2923.13
BUS-000053,2026-02-01,4,0,1330.4
BUS-000053,2026-03-01,6,0,2402.21
BUS-000053,2026-04-01,6,0,1386.07
BUS-000053,2026-05-01,4,0,1508.5
BUS-000053,2026-06-01,6,0,2741.59
BUS-000054,2026-01-01,6,0,1722.0
BUS-000054,2026-02-01,6,0,2543.5
BUS-000054,2026-03-01,4,0,1736.73
BUS-000054,2026-04-01,4,0,2109.01
BUS-000054,2026-05-01,5,0,1640.61
BUS-000054,2026-06-01,5,0,1457.41
BUS-000055,2026-01-01,78,2,32966.58
BUS-000055,2026-02-01,74,2,25942.38
BUS-000055,2026-03-01,74,1,28232.98
BUS-000055,2026-04-01,74,2,17603.18
BUS-000055,2026-05-01,78,2,35197.55
BUS-000055,2026-06-01,78,1,22060.4
BUS-000056,2026-01-01,65,2,34128.78
BUS-000056,2026-02-01,87,1,38318.27
BUS-000056,2026-03-01,99,3,17480.33
BUS-000056,2026-04-01,89,1,35945.21
BUS-000056,2026-05-01,61,1,30481.9
BUS-000056,2026-06-01,72,1,37447.05
BUS-000057,2026-01-01,120,4,72069.36
BUS-000057,2026-02-01,90,2,71399.09
BUS-000057,2026-03-01,122,4,65005.36
BUS-000057,2026-04-01,115,4,64076.19
BUS-000057,2026-05-01,116,6,76105.88
BUS-000057,2026-06-01,100,3,93890.73
BUS-000058,2026-01-01,4,0,1808.39
BUS-000058,2026-02-01,6,0,2654.12
BUS-000058,2026-03-01,5,0,2922.64
BUS-000058,2026-04-01,6,0,1398.99
BUS-000058,2026-05-01,6,0,2920.39
BUS-000058,2026-06-01,5,0,1597.87
BUS-000059,2026-01-01,96,3,62337.95
BUS-000059,2026-02-01,124,3,114411.17
BUS-000059,2026-03-01,162,3,64943.14
BUS-000059,2026-04-01,154,4,55882.5
BUS-000059,2026-05-01,95,4,83991.56
BUS-000059,2026-06-01,94,3,84161.51
BUS-000060,2026-01-01,21,3,14770.41
BUS-000060,2026-02-01,32,2,12750.46
BUS-000060,2026-03-01,38,2,19598.05
BUS-000060,2026-04-01,37,1,9404.43
BUS-000060,2026-05-01,26,1,9077.04
BUS-000060,2026-06-01,30,2,15206.06
BUS-000061,2026-01-01,185,6,125019.08
BUS-000061,2026-02-01,153,5,139943.2
BUS-000061,2026-03-01,164,2,107880.05
BUS-000061,2026-04-01,157,4,88494.76
BUS-000061,2026-05-01,155,6,89057.05
BUS-000061,2026-06-01,190,4,85590.56
BUS-000062,2026-01-01,28,1,17374.04
BUS-000062,2026-02-01,27,3,21640.9
BUS-000062,2026-03-01,32,2,19074.47
BUS-000062,2026-04-01,38,3,15052.97
BUS-000062,2026-05-01,41,3,22697.09
BUS-000062,2026-06-01,40,2,12329.21
BUS-000063,2026-01-01,7,0,1662.74
BUS-000063,2026-02-01,5,0,1790.38
BUS-000063,2026-03-01,4,0,1729.24
BUS-000063,2026-04-01,6,0,2292.47
BUS-000063,2026-05-01,5,0,1734.13
BUS-000063,2026-06-01,5,0,2425.86
BUS-000064,2026-01-01,90,2,35644.47
BUS-000064,2026-02-01,67,1,24729.74
BUS-000064,2026-03-01,59,3,19210.78
BUS-000064,2026-04-01,91,3,26343.02
BUS-000064,2026-05-01,96,2,26860.89
BUS-000064,2026-06-01,83,2,26446.43
BUS-000065,2026-01-01,35,2,15254.17
BUS-000065,2026-02-01,26,3,15945.11
BUS-000065,2026-03-01,32,2,15193.99
BUS-000065,2026-04-01,30,3,15845.25
BUS-000065,2026-05-01,33,3,13459.58
BUS-000065,2026-06-01,23,1,10447.18
BUS-000066,2026-01-01,39,2,11685.33
BUS-000066,2026-02-01,31,2,19658.79
BUS-000066,2026-03-01,28,3,13354.05
BUS-000066,2026-04-01,33,3,20091.21
BUS-000066,2026-05-01,22,2,13760.36
BUS-000066,2026-06-01,31,2,15250.23
BUS-000067,2026-01-01,6,0,2796.25
BUS-000067,2026-02-01,4,0,1402.35
BUS-000067,2026-03-01,6,0,2568.01
BUS-000067,2026-04-01,5,0,1614.86
BUS-000067,2026-05-01,5,0,1460.99
BUS-000067,2026-06-01,5,0,1366.69
BUS-000068,2026-01-01,6,0,2069.9
BUS-000068,2026-02-01,7,0,1762.22
BUS-000068,2026-03-01,4,0,2645.73
BUS-000068,2026-04-01,6,0,2375.72
BUS-000068,2026-05-01,4,0,2537.3
BUS-000068,2026-06-01,6,0,2759.65
BUS-000069,2026-01-01,27,1,17849.08
BUS-000069,2026-02-01,32,2,10435.15
BUS-000069,2026-03-01,26,1,17046.09
BUS-000069,2026-04-01,34,3,18202.61
BUS-000069,2026-05-01,25,1,19537.63
BUS-000069,2026-06-01,22,3,17766.24
BUS-000070,2026-01-01,5,0,2898.75
BUS-000070,2026-02-01,4,0,2833.92
BUS-000070,2026-03-01,6,0,1521.73
BUS-000070,2026-04-01,6,0,2509.04
BUS-000070,2026-05-01,6,0,1682.11
BUS-000070,2026-06-01,4,0,1540.06
BUS-000071,2026-01-01,5,0,1250.96
BUS-000071,2026-02-01,6,0,1840.04
BUS-000071,2026-03-01,6,0,2077.55
BUS-000071,2026-04-01,4,0,1605.42
BUS-000071,2026-05-01,4,0,2334.73
BUS-000071,2026-06-01,6,0,1941.46
BUS-000072,2026-01-01,4,0,2296.91
BUS-000072,2026-02-01,6,0,1800.76
BUS-000072,2026-03-01,5,0,2823.36
BUS-000072,2026-04-01,5,0,2095.56
BUS-000072,2026-05-01,6,0,2395.25
BUS-000072,2026-06-01,5,0,2688.79
BUS-000073,2026-01-01,6,0,2637.98
BUS-000073,2026-02-01,4,0,2589.06
BUS-000073,2026-03-01,6,0,2444.92
BUS-000073,2026-04-01,5,0,2563.17
BUS-000073,2026-05-01,6,0,2443.19
BUS-000073,2026-06-01,4,0,2252.54
BUS-000074,2026-01-01,74,2,26742.99
BUS-000074,2026-02-01,89,3,29250.66
BUS-000074,2026-03-01,72,2,19704.83
BUS-000074,2026-04-01,79,3,19416.1
BUS-000074,2026-05-01,92,2,15457.82
BUS-000074,2026-06-01,76,1,15636.37
BUS-000075,2026-01-01,5,0,2535.83
BUS-000075,2026-02-01,4,0,1420.51
BUS-000075,2026-03-01,4,0,1842.88
BUS-000075,2026-04-01,5,0,1946.59
BUS-000075,2026-05-01,4,0,1582.53
BUS-000075,2026-06-01,5,0,2779.2
BUS-000076,2026-01-01,4,0,1618.3
BUS-000076,2026-02-01,7,0,2325.45
BUS-000076,2026-03-01,5,0,1855.62
BUS-000076,2026-04-01,6,0,1645.05
BUS-000076,2026-05-01,4,0,2197.97
BUS-000076,2026-06-01,7,0,2851.87
BUS-000077,2026-01-01,232,4,132482.06
BUS-000077,2026-02-01,215,5,95798.0
BUS-000077,2026-03-01,178,5,109903.87
BUS-000077,2026-04-01,211,3,119711.01
BUS-000077,2026-05-01,193,3,129821.63
BUS-000077,2026-06-01,253,5,118658.99
BUS-000078,2026-01-01,7,0,2624.21
BUS-000078,2026-02-01,5,0,1649.96
BUS-000078,2026-03-01,6,0,1673.42
BUS-000078,2026-04-01,4,0,1394.14
BUS-000078,2026-05-01,6,0,2806.08
BUS-000078,2026-06-01,5,0,1338.87
BUS-000079,2026-01-01,5,0,1846.8
BUS-000079,2026-02-01,4,0,2884.34
BUS-000079,2026-03-01,4,0,1716.31
BUS-000079,2026-04-01,4,0,1899.34
BUS-000079,2026-05-01,5,0,1331.05
BUS-000079,2026-06-01,5,0,1449.81
BUS-000080,2026-01-01,70,2,35960.65
BUS-000080,2026-02-01,82,2,37530.95
BUS-000080,2026-03-01,72,2,32904.84
BUS-000080,2026-04-01,72,2,42904.9
BUS-000080,2026-05-01,85,3,34260.63
BUS-000080,2026-06-01,104,3,36246.25
BUS-000081,2026-01-01,222,3,160021.49
BUS-000081,2026-02-01,175,6,156060.41
BUS-000081,2026-03-01,238,2,102460.57
BUS-000081,2026-04-01,159,3,156227.05
BUS-000081,2026-05-01,182,3,160865.93
BUS-000081,2026-06-01,166,5,159012.59
BUS-000082,2026-01-01,179,3,142933.93
BUS-000082,2026-02-01,238,2,179137.68
BUS-000082,2026-03-01,175,6,155556.92
BUS-000082,2026-04-01,249,2,132010.25
BUS-000082,2026-05-01,163,3,165167.42
BUS-000082,2026-06-01,209,6,103234.96
BUS-000083,2026-01-01,34,2,10001.09
BUS-000083,2026-02-01,31,2,15666.25
BUS-000083,2026-03-01,22,1,17003.65
BUS-000083,2026-04-01,36,3,13511.13
BUS-000083,2026-05-01,25,2,12669.0
BUS-000083,2026-06-01,26,3,15796.86
BUS-000084,2026-01-01,119,6,46067.95
BUS-000084,2026-02-01,107,3,58615.14
BUS-000084,2026-03-01,134,5,69928.57
BUS-000084,2026-04-01,135,3,90343.32
BUS-000084,2026-05-01,94,2,50885.61
BUS-000084,2026-06-01,105,2,48602.74
BUS-000085,2026-01-01,33,2,11390.46
BUS-000085,2026-02-01,22,1,9733.3
BUS-000085,2026-03-01,31,2,17311.37
BUS-000085,2026-04-01,22,1,8444.8
BUS-000085,2026-05-01,25,2,17873.32
BUS-000085,2026-06-01,27,2,15132.31
BUS-000086,2026-01-01,6,0,2084.04
BUS-000086,2026-02-01,5,0,1932.08
BUS-000086,2026-03-01,5,0,1540.54
BUS-000086,2026-04-01,6,0,2611.94
BUS-000086,2026-05-01,6,0,2544.74
BUS-000086,2026-06-01,6,0,2788.43
BUS-000087,2026-01-01,6,0,1917.13
BUS-000087,2026-02-01,5,0,2834.17
BUS-000087,2026-03-01,5,0,2618.55
BUS-000087,2026-04-01,5,0,2604.52
BUS-000087,2026-05-01,6,0,2444.33
BUS-000087,2026-06-01,5,0,2023.66
BUS-000088,2026-01-01,4,0,2327.4
BUS-000088,2026-02-01,6,0,1994.34
BUS-000088,2026-03-01,5,0,2031.55
BUS-000088,2026-04-01,6,0,2045.55
BUS-000088,2026-05-01,4,0,2497.31
BUS-000088,2026-06-01,6,0,2862.12
BUS-000089,2026-01-01,7,0,2623.05
BUS-000089,2026-02-01,5,0,2498.23
BUS-000089,2026-03-01,4,0,1638.97
BUS-000089,2026-04-01,4,0,2488.67
BUS-000089,2026-05-01,5,0,2026.7
BUS-000089,2026-06-01,4,0,2033.12
BUS-000090,2026-01-01,26,3,13129.88
BUS-000090,2026-02-01,31,3,19843.32
BUS-000090,2026-03-01,27,1,16047.29
BUS-000090,2026-04-01,33,3,12642.89
BUS-000090,2026-05-01,27,3,19501.34
BUS-000090,2026-06-01,34,1,16501.52
BUS-000091,2026-01-01,249,5,139373.31
BUS-000091,2026-02-01,205,4,103031.68
BUS-000091,2026-03-01,216,4,205974.69
BUS-000091,2026-04-01,165,4,141636.35
BUS-000091,2026-05-01,277,4,153417.3
BUS-000091,2026-06-01,180,5,108393.36
BUS-000092,2026-01-01,4,0,2598.49
BUS-000092,2026-02-01,6,0,1762.13
BUS-000092,2026-03-01,6,0,1836.54
BUS-000092,2026-04-01,7,0,1754.19
BUS-000092,2026-05-01,6,0,2532.81
BUS-000092,2026-06-01,6,0,2243.5
BUS-000093,2026-01-01,6,0,2860.87
BUS-000093,2026-02-01,6,0,2632.32
BUS-000093,2026-03-01,6,0,2381.76
BUS-000093,2026-04-01,5,0,1959.63
BUS-000093,2026-05-01,6,0,1875.64
BUS-000093,2026-06-01,7,0,2291.74
BUS-000094,2026-01-01,36,2,14581.55
BUS-000094,2026-02-01,35,1,13231.94
BUS-000094,2026-03-01,25,2,14407.31
BUS-000094,2026-04-01,28,1,18251.9
BUS-000094,2026-05-01,27,1,8926.42
BUS-000094,2026-06-01,31,1,11122.0
BUS-000095,2026-01-01,5,0,2276.78
BUS-000095,2026-02-01,4,0,2865.64
BUS-000095,2026-03-01,6,0,1297.69
BUS-000095,2026-04-01,7,0,2317.26
BUS-000095,2026-05-01,7,0,2393.13
BUS-000095,2026-06-01,6,0,2538.79
BUS-000096,2026-01-01,36,1,16717.66
BUS-000096,2026-02-01,30,2,15367.55
BUS-000096,2026-03-01,28,3,17189.95
BUS-000096,2026-04-01,23,3,17305.06
BUS-000096,2026-05-01,26,3,12269.88
BUS-000096,2026-06-01,29,3,15617.24
BUS-000097,2026-01-01,40,2,10514.23
BUS-000097,2026-02-01,35,2,14762.57
BUS-000097,2026-03-01,29,1,14394.73
BUS-000097,2026-04-01,40,3,13087.86
BUS-000097,2026-05-01,26,3,11869.79
BUS-000097,2026-06-01,36,1,21660.34
BUS-000098,2026-01-01,6,0,1302.49
BUS-000098,2026-02-01,5,0,2561.0
BUS-000098,2026-03-01,6,0,1940.77
BUS-000098,2026-04-01,4,0,2012.28
BUS-000098,2026-05-01,7,0,2006.32
BUS-000098,2026-06-01,6,0,2864.47
BUS-000099,2026-01-01,35,2,15446.34
BUS-000099,2026-02-01,34,1,16875.06
BUS-000099,2026-03-01,25,2,8619.24
BUS-000099,2026-04-01,29,2,17259.39
BUS-000099,2026-05-01,26,2,9630.09
BUS-000099,2026-06-01,35,2,14516.03
BUS-000100,2026-01-01,5,0,2151.75
BUS-000100,2026-02-01,6,0,2028.59
BUS-000100,2026-03-01,5,0,2803.08
BUS-000100,2026-04-01,4,0,1339.43
BUS-000100,2026-05-01,4,0,2100.14
BUS-000100,2026-06-01,5,0,1369.95
