business_id,business_name,plan_tier,seats,mrr,signup_date,renewal_date,is_power_user_seed
BUS-000023,Quantum Trading,Free,2,0.0,2024-08-13,2026-08-13,False
BUS-000024,Initech Partners,Free,3,0.0,2025-11-24,2026-11-24,False
BUS-000025,Cobalt Consulting,Mid,15,67.29,2025-08-20,2026-08-20,True
BUS-000026,Stellar Retail,Free,3,0.0,2023-12-20,2026-12-19,False
BUS-000027,Iron Bakery,Mid,9,99.66,2024-03-31,2027-03-31,False
BUS-000028,Acme Foods,Free,1,0.0,2024-06-11,2026-06-11,False
BUS-000029,Globex Media,Mid,3,34.97,2026-01-04,2027-01-04,False
BUS-000030,Cobalt Retail,Free,1,0.0,2024-10-11,2026-10-11,False
BUS-000031,Quantum Partners,Free,3,0.0,2023-09-09,2026-09-08,False
BUS-000032,Bright Works,Mid,6,36.6,2023-12-04,2026-12-03,False
BUS-000033,Globex Supply,Premium,16,554.02,2025-10-15,2026-10-15,False
BUS-000034,Iron Studios,Mid,15,90.32,2024-12-11,2026-12-11,False
BUS-000035,Quantum Logistics,Free,2,0.0,2023-09-30,2026-09-29,False
BUS-000036,Globex Labs,Free,3,0.0,2025-10-16,2026-10-16,False
BUS-000037,Cobalt Retail,Premium,40,249.79,2023-08-14,2026-08-13,False
BUS-000038,Apex Builders,Premium,17,248.78,2026-04-30,2027-04-30,False
BUS-000039,Nova Retail,Premium,68,321.15,2023-08-12,2026-08-11,False
BUS-000040,Harbor Trading,Free,1,0.0,2025-12-31,2026-12-31,False
BUS-000041,Vertex Trading,Free,2,0.0,2023-07-10,2026-07-09,False
BUS-000042,Initech Foods,Premium,20,660.81,2025-12-15,2026-12-15,False
BUS-000043,Globex Logistics,Free,3,0.0,2024-12-16,2026-12-16,False
BUS-000044,Harbor Builders,Free,3,0.0,2023-05-30,2027-05-29,False
BUS-000045,Quantum Builders,Free,3,0.0,2024-07-30,2026-07-30,False
BUS-000046,Iron Media,Free,3,0.0,2024-08-28,2026-08-28,False
BUS-000047,Initech Retail,Premium,19,155.59,2025-10-12,2026-10-12,False
BUS-000048,Initech Foods,Free,1,0.0,2024-05-20,2027-05-20,False
BUS-000049,Summit Labs,Free,1,0.0,2023-11-19,2026-11-18,False
BUS-000050,Nova Builders,Mid,11,50.96,2025-10-04,2026-10-04,False
BUS-000051,Cedar Health,Free,1,0.0,2025-06-20,2026-06-20,False
BUS-000052,Cedar Trading,Mid,14,54.0,2024-11-10,2026-11-10,False
BUS-000053,Globex Labs,Free,2,0.0,2024-10-15,2026-10-15,False
BUS-000054,Vertex Works,Free,1,0.0,2024-11-14,2026-11-14,False
BUS-000055,Nova Trading,Mid,9,69.26,2025-09-17,2026-09-17,True
BUS-000056,Summit Auto,Mid,12,68.68,2023-12-06,2026-12-05,True
BUS-000057,Quantum Bakery,Premium,15,689.35,2025-02-28,2027-02-28,False
BUS-000058,Nova Foods,Free,3,0.0,2024-01-23,2027-01-22,False
BUS-000059,Vertex Media,Premium,32,678.85,2026-03-15,2027-03-15,False
BUS-000060,Umbra Supply,Mid,9,86.16,2024-12-12,2026-12-12,False
BUS-000061,Pioneer Health,Premium,70,283.46,2023-10-05,2026-10-04,False
BUS-000062,Apex Media,Mid,16,45.93,2026-03-17,2027-03-17,False
BUS-000063,Pioneer Supply,Free,1,0.0,2024-10-10,2026-10-10,False
BUS-000064,Cedar Consulting,Mid,16,67.54,2026-03-09,2027-03-09,True
BUS-000065,Harbor Group,Mid,7,32.68,2023-11-27,2026-11-26,False
BUS-000066,Bright Labs,Mid,11,38.1,2025-04-10,2027-04-10,False
BUS-000067,Pioneer Group,Free,3,0.0,2025-03-27,2027-03-27,False
BUS-000068,Harbor Bakery,Free,3,0.0,2024-06-27,2026-06-27,False
BUS-000069,Summit Studios,Mid,7,65.5,2024-01-19,2027-01-18,False
BUS-000070,Vertex Health,Free,3,0.0,2024-03-19,2027-03-19,False
BUS-000071,Summit Retail,Free,1,0.0,2024-08-20,2026-08-20,False
BUS-000072,Iron Works,Free,3,0.0,2024-07-14,2026-07-14,False
BUS-000073,Cobalt Consulting,Free,1,0.0,2023-06-23,2026-06-22,False
BUS-000074,Quantum Health,Mid,7,66.08,2024-06-17,2026-06-17,True
BUS-000075,Acme Trading,Free,1,0.0,2025-07-07,2026-07-07,False
BUS-000076,Iron Group,Free,2,0.0,2025-12-06,2026-12-06,False
BUS-000077,Cobalt Supply,Premium,83,266.66,2024-03-09,2027-03-09,False
BUS-000078,Umbra Group,Free,3,0.0,2026-04-23,2027-04-23,False
BUS-000079,Iron Trading,Free,3,0.0,2023-06-09,2026-06-08,False
BUS-000080,Iron Media,Mid,17,89.38,2023-10-13,2026-10-12,True
BUS-000081,Bright Works,Premium,66,517.59,2023-07-06,2026-07-05,False
BUS-000082,Cedar Partners,Premium,70,420.04,2024-12-14,2026-12-14,False
BUS-000083,Harbor Media,Mid,7,60.79,2024-09-26,2026-09-26,False
BUS-000084,Apex Studios,Premium,20,233.02,2025-01-16,2027-01-16,False
BUS-000085,Bright Trading,Mid,4,59.04,2024-06-26,2026-06-26,False
BUS-000086,Acme Supply,Free,2,0.0,2024-02-27,2027-02-26,False
BUS-000087,Apex Group,Free,2,0.0,2024-08-31,2026-08-31,False
BUS-000088,Cobalt Foods,Free,3,0.0,2025-02-07,2027-02-07,False
BUS-000089,Apex Media,Free,2,0.0,2026-03-06,2027-03-06,False
BUS-000090,Nova Labs,Mid,15,58.3,2025-05-31,2027-05-31,False
BUS-000091,Initech Group,Premium,85,488.64,2026-03-10,2027-03-10,False
BUS-000092,Globex Builders,Free,2,0.0,2025-04-27,2027-04-27,False
BUS-000093,Harbor Media,Free,1,0.0,2023-10-16,2026-10-15,False
BUS-000094,Initech Partners,Mid,9,49.48,2023-12-23,2026-12-22,False
BUS-000095,Pioneer Foods,Free,3,0.0,2026-01-18,2027-01-18,False
BUS-000096,Quantum Retail,Mid,15,97.01,2026-02-11,2027-02-11,False
BUS-000097,Umbra Retail,Mid,12,40.67,2025-08-19,2026-08-19,False
BUS-000098,Vertex Bakery,Free,2,0.0,2024-04-09,2027-04-09,False
BUS-000099,Summit Supply,Mid,5,97.53,2025-09-25,2026-09-25,False
BUS-000100,Initech Foods,Free,3,0.0,2025-03-24,2027-03-24,False
BUS-000101,Globex Auto,Free,2,0.0,2025-08-30,2026-08-30,False
BUS-000102,Initech Media,Free,3,0.0,2024-04-06,2027-04-06,False
BUS-000103,Umbra Group,Free,2,0.0,2023-08-05,2026-08-04,False
BUS-000104,Nova Group,Premium,91,684.95,2023-10-06,2026-10-05,False
BUS-000105,Cobalt Works,Free,3,0.0,2024-10-28,2026-10-28,False
BUS-000106,Harbor Foods,Free,3,0.0,2024-11-01,2026-11-01,False
BUS-000107,Iron Supply,Mid,4,49.52,2023-10-24,2026-10-23,False
BUS-000108,Vertex Partners,Free,2,0.0,2024-07-08,2026-07-08,False
BUS-000109,Cedar Builders,Free,2,0.0,2024-06-06,2026-06-06,False
BUS-000110,Bright Partners,Mid,11,96.36,2025-11-10,2026-11-10,False
BUS-000111,Acme Logistics,Mid,6,78.34,2023-08-03,2026-08-02,False
BUS-000112,Summit Auto,Free,2,0.0,2024-12-22,2026-12-22,False
BUS-000113,Bright Media,Free,3,0.0,2024-05-30,2027-05-30,False
BUS-000114,Summit Builders,Free,2,0.0,2024-10-27,2026-10-27,False
BUS-000115,Harbor Bakery,Free,3,0.0,2025-04-05,2027-04-05,False
BUS-000116,Cobalt Builders,Mid,15,78.31,2025-04-07,2027-04-07,False
BUS-000117,Stellar Health,Mid,15,66.72,2024-10-02,2026-10-02,False
BUS-000118,Acme Studios,Free,1,0.0,2024-08-23,2026-08-23,False
BUS-000119,Nova Partners,Free,1,0.0,2024-09-13,2026-09-13,False
BUS-000120,Cobalt Partners,Free,1,0.0,2024-09-29,2026-09-29,False
BUS-000121,Cedar Partners,Free,1,0.0,2026-01-19,2027-01-19,False
BUS-000122,Cobalt Logistics,Free,1,0.0,2024-02-04,2027-02-03,False
BUS-000123,Summit Logistics,Mid,13,33.75,2025-07-03,2026-07-03,False
BUS-000124,Quantum Supply,Premium,25,484.84,2024-01-03,2027-01-02,False
BUS-000125,Bright Health,Free,2,0.0,2024-09-03,2026-09-03,False
BUS-000126,Stellar Retail,Mid,3,72.67,2025-10-13,2026-10-13,False
BUS-000127,Quantum Consulting,Free,1,0.0,2025-06-17,2026-06-17,False
BUS-000128,Cobalt Health,Mid,5,30.19,2023-10-25,2026-10-24,False
BUS-000129,Iron Logistics,Free,2,0.0,2024-10-02,2026-10-02,False
BUS-000130,Quantum Studios,Mid,17,48.52,2025-03-25,2027-03-25,False
BUS-000131,Summit Health,Premium,28,192.85,2025-05-30,2027-05-30,False
BUS-000132,Apex Builders,Free,2,0.0,2024-08-20,2026-08-20,False
BUS-000133,Initech Trading,Free,2,0.0,2023-11-20,2026-11-19,False
BUS-000134,Initech Foods,Premium,51,512.23,2026-03-13,2027-03-13,False
BUS-000135,Cedar Trading,Premium,83,502.27,2026-03-23,2027-03-23,False
BUS-000136,Vertex Group,Mid,5,62.94,2023-11-11,2026-11-10,False
BUS-000137,Harbor Media,Mid,10,97.83,2023-09-15,2026-09-14,False
BUS-000138,Summit Supply,Mid,16,41.26,2024-01-12,2027-01-11,False
BUS-000139,Harbor Bakery,Mid,11,32.57,2025-11-05,2026-11-05,False
BUS-000140,Iron Group,Premium,61,668.95,2026-05-02,2027-05-02,False
BUS-000141,Cobalt Works,Free,3,0.0,2024-04-24,2027-04-24,False
BUS-000142,Iron Partners,Mid,6,48.69,2025-08-09,2026-08-09,False
BUS-000143,Vertex Health,Free,3,0.0,2024-12-30,2026-12-30,False
BUS-000144,Umbra Works,Mid,11,58.56,2025-01-29,2027-01-29,False
BUS-000145,Summit Builders,Premium,92,649.29,2023-07-19,2026-07-18,False
BUS-000146,Quantum Works,Free,2,0.0,2023-09-10,2026-09-09,False
BUS-000147,Nova Logistics,Mid,9,43.34,2023-06-29,2026-06-28,False
BUS-000148,Cedar Labs,Free,2,0.0,2024-06-07,2026-06-07,False
BUS-000149,Nova Works,Free,2,0.0,2023-08-06,2026-08-05,False
BUS-000150,Apex Works,Free,2,0.0,2024-06-23,2026-06-23,False
BUS-000151,Apex Foods,Premium,34,738.46,2024-12-31,2026-12-31,False
BUS-000152,Apex Supply,Premium,62,176.19,2023-09-09,2026-09-08,False
BUS-000153,Globex Studios,Premium,93,738.49,2023-07-25,2026-07-24,False
BUS-000154,Umbra Works,Free,3,0.0,2024-06-24,2026-06-24,False
BUS-000155,Nova Group,Free,2,0.0,2026-04-03,2027-04-03,False
BUS-000156,Harbor Supply,Premium,29,194.9,2024-11-08,2026-11-08,False
BUS-000157,Cobalt Trading,Mid,16,53.0,2024-03-17,2027-03-17,False
BUS-000158,Initech Group,Mid,6,74.18,2024-09-23,2026-09-23,False
BUS-000159,Iron Consulting,Premium,91,572.33,2025-10-11,2026-10-11,False
BUS-000160,Summit Auto,Mid,17,32.03,2024-07-09,2026-07-09,False
BUS-000161,Bright Consulting,Free,1,0.0,2024-12-20,2026-12-20,False
BUS-000162,Quantum Partners,Free,1,0.0,2024-03-12,2027-03-12,False
BUS-000163,Iron Builders,Premium,28,289.31,2024-11-30,2026-11-30,False
BUS-000164,Vertex Logistics,Mid,17,86.32,2024-09-22,2026-09-22,False
BUS-000165,Bright Builders,Free,2,0.0,2024-08-30,2026-08-30,False
BUS-000166,Apex Partners,Free,2,0.0,2025-03-23,2027-03-23,False
BUS-000167,Summit Health,Free,2,0.0,2024-04-29,2027-04-29,False
BUS-000168,Cedar Labs,Free,3,0.0,2024-02-14,2027-02-13,False
BUS-000169,Cobalt Health,Mid,13,84.48,2026-01-24,2027-01-24,False
BUS-000170,Stellar Builders,Mid,6,72.49,2024-05-13,2027-05-13,False
BUS-000171,Globex Health,Mid,14,83.72,2025-07-28,2026-07-28,False
BUS-000172,Summit Media,Mid,3,70.57,2025-08-08,2026-08-08,True
BUS-000173,Cedar Consulting,Mid,5,44.06,2024-04-15,2027-04-15,False
BUS-000174,Harbor Bakery,Free,2,0.0,2024-09-07,2026-09-07,False
BUS-000175,Quantum Supply,Free,1,0.0,2025-07-20,2026-07-20,False
BUS-000176,Acme Builders,Premium,81,369.47,2024-02-16,2027-02-15,False
BUS-000177,Cedar Supply,Free,2,0.0,2024-04-10,2027-04-10,False
BUS-000178,Harbor Foods,Mid,8,37.58,2025-01-11,2027-01-11,False
BUS-000179,Umbra Studios,Mid,13,87.67,2024-08-24,2026-08-24,False
BUS-000180,Cobalt Bakery,Free,1,0.0,2024-08-19,2026-08-19,False
BUS-000181,Apex Works,Free,3,0.0,2025-07-31,2026-07-31,False
BUS-000182,Nova Group,Free,3,0.0,2023-12-28,2026-12-27,False
BUS-000183,Cedar Trading,Mid,16,64.25,2024-01-20,2027-01-19,False
BUS-000184,Umbra Auto,Mid,6,61.04,2025-01-06,2027-01-06,False
BUS-000185,Globex Supply,Free,3,0.0,2024-04-30,2027-04-30,False
BUS-000186,Initech Retail,Free,1,0.0,2023-10-16,2026-10-15,False
BUS-000187,Quantum Studios,Mid,12,97.98,2026-01-21,2027-01-21,False
BUS-000188,Quantum Media,Mid,6,34.8,2025-03-06,2027-03-06,False
BUS-000189,Nova Studios,Mid,15,93.04,2026-04-29,2027-04-29,False
BUS-000190,Acme Studios,Free,1,0.0,2025-09-21,2026-09-21,False
BUS-000191,Acme Consulting,Free,1,0.0,2024-07-10,2026-07-10,False
BUS-000192,Umbra Logistics,Free,1,0.0,2023-12-24,2026-12-23,False
BUS-000193,Umbra Works,Free,2,0.0,2023-06-18,2026-06-17,False
BUS-000194,Summit Works,Free,3,0.0,2026-02-05,2027-02-05,False
BUS-000195,Bright Bakery,Mid,3,34.26,2023-08-28,2026-08-27,False
BUS-000196,Initech Media,Free,2,0.0,2025-12-05,2026-12-05,False
BUS-000197,Summit Works,Mid,4,38.83,2024-07-08,2026-07-08,False
BUS-000198,Umbra Retail,Free,2,0.0,2025-10-13,2026-10-13,False
BUS-000199,Harbor Works,Free,1,0.0,2024-01-08,2027-01-07,False
BUS-000200,Harbor Group,Free,3,0.0,2025-10-22,2026-10-22,False
BUS-000201,Nova Partners,Free,2,0.0,2024-03-29,2027-03-29,False
BUS-000202,Bright Bakery,Free,1,0.0,2025-10-26,2026-10-26,False
BUS-000203,Harbor Bakery,Mid,8,86.82,2026-01-02,2027-01-02,False
BUS-000204,Globex Health,Free,3,0.0,2023-12-20,2026-12-19,False
BUS-000205,Cobalt Foods,Mid,8,37.25,2023-06-30,2026-06-29,False
BUS-000206,Cedar Foods,Mid,8,89.18,2024-04-12,2027-04-12,True
BUS-000207,Cedar Labs,Mid,16,69.27,2026-03-12,2027-03-12,False
BUS-000208,Harbor Auto,Free,3,0.0,2024-08-10,2026-08-10,False
BUS-000209,Initech Studios,Free,1,0.0,2024-02-04,2027-02-03,False
BUS-000210,Iron Media,Mid,3,36.42,2025-02-18,2027-02-18,False
BUS-000211,Initech Trading,Free,2,0.0,2024-07-09,2026-07-09,False
BUS-000212,Initech Builders,Free,3,0.0,2026-01-23,2027-01-23,False
BUS-000213,Iron Group,Free,2,0.0,2023-08-14,2026-08-13,False
BUS-000214,Pioneer Group,Free,3,0.0,2025-09-13,2026-09-13,False
BUS-000215,Summit Trading,Free,3,0.0,2023-08-12,2026-08-11,False
BUS-000216,Acme Retail,Free,3,0.0,2026-01-12,2027-01-12,False
BUS-000217,Cedar Health,Free,1,0.0,2025-07-27,2026-07-27,False
BUS-000218,Bright Consulting,Free,1,0.0,2023-07-21,2026-07-20,False
BUS-000219,Pioneer Logistics,Free,3,0.0,2025-01-18,2027-01-18,False
BUS-000220,Bright Labs,Free,3,0.0,2026-02-07,2027-02-07,False
BUS-000221,Bright Supply,Free,1,0.0,2024-08-01,2026-08-01,False
BUS-000222,Harbor Consulting,Mid,9,50.27,2024-01-26,2027-01-25,True
BUS-000223,Umbra Foods,Mid,12,62.21,2024-04-23,2027-04-23,True
BUS-000224,Initech Supply,Free,2,0.0,2023-05-27,2027-05-26,False
BUS-000225,Initech Bakery,Premium,53,282.94,2025-05-25,2027-05-25,False
BUS-000226,Pioneer Studios,Free,1,0.0,2024-05-19,2027-05-19,False
BUS-000227,Stellar Consulting,Free,1,0.0,2024-11-26,2026-11-26,False
BUS-000228,Cobalt Works,Mid,15,83.14,2025-12-01,2026-12-01,False
BUS-000229,Harbor Studios,Mid,15,70.56,2024-07-12,2026-07-12,False
BUS-000230,Summit Builders,Free,2,0.0,2023-11-11,2026-11-10,False
BUS-000231,Globex Trading,Mid,8,65.51,2024-08-07,2026-08-07,False
BUS-000232,Initech Supply,Free,2,0.0,2025-11-28,2026-11-28,False
BUS-000233,Iron Retail,Free,3,0.0,2026-02-09,2027-02-09,False
BUS-000234,Nova Trading,Free,2,0.0,2023-07-13,2026-07-12,False
BUS-000235,Vertex Trading,Free,2,0.0,2025-11-13,2026-11-13,False
BUS-000236,Vertex Auto,Free,2,0.0,2023-11-17,2026-11-16,False
BUS-000237,Bright Media,Free,2,0.0,2024-03-02,2027-03-02,False
BUS-000238,Umbra Supply,Mid,3,85.25,2024-06-18,2026-06-18,True
BUS-000239,Harbor Logistics,Free,3,0.0,2025-07-01,2026-07-01,False
BUS-000240,Apex Studios,Mid,5,94.17,2024-08-07,2026-08-07,False
BUS-000241,Harbor Studios,Mid,4,51.67,2024-03-24,2027-03-24,False
BUS-000242,Bright Auto,Mid,16,96.3,2023-05-22,2027-05-21,True
BUS-000243,Stellar Media,Free,2,0.0,2025-04-30,2027-04-30,False
BUS-000244,Nova Logistics,Premium,72,265.2,2025-07-27,2026-07-27,False
BUS-000245,Globex Media,Free,1,0.0,2023-06-30,2026-06-29,False
BUS-000246,Nova Consulting,Premium,89,228.63,2024-03-24,2027-03-24,False
BUS-000247,Iron Trading,Free,3,0.0,2025-05-30,2027-05-30,False
BUS-000248,Iron Health,Free,3,0.0,2025-01-03,2027-01-03,False
BUS-000249,Cobalt Retail,Mid,15,61.42,2024-12-31,2026-12-31,False
BUS-000250,Iron Health,Free,3,0.0,2023-11-14,2026-11-13,False
BUS-000251,Nova Builders,Mid,11,66.92,2025-06-07,2026-06-07,False
BUS-000252,Umbra Bakery,Free,2,0.0,2024-04-04,2027-04-04,False
BUS-000253,Iron Studios,Free,1,0.0,2024-10-23,2026-10-23,False
BUS-000254,Pioneer Labs,Mid,4,96.25,2025-02-04,2027-02-04,False
BUS-000255,Pioneer Foods,Free,2,0.0,2023-07-11,2026-07-10,False
BUS-000256,Quantum Labs,Free,1,0.0,2024-03-28,2027-03-28,False
BUS-000257,Nova Studios,Free,1,0.0,2024-06-17,2026-06-17,False
BUS-000258,Cobalt Works,Free,2,0.0,2025-07-24,2026-07-24,False
BUS-000259,Nova Group,Mid,17,35.55,2024-11-26,2026-11-26,False
BUS-000260,Summit Bakery,Free,2,0.0,2025-01-03,2027-01-03,False
BUS-000261,Initech Bakery,Free,2,0.0,2023-10-11,2026-10-10,False
BUS-000262,Quantum Studios,Mid,10,71.77,2026-04-01,2027-04-01,False
BUS-000263,Quantum Group,Free,1,0.0,2024-05-12,2027-05-12,False
BUS-000264,Pioneer Logistics,Free,3,0.0,2025-11-10,2026-11-10,False
BUS-000265,Acme Supply,Premium,79,454.4,2023-06-30,2026-06-29,False
BUS-000266,Cedar Labs,Premium,15,531.4,2024-03-31,2027-03-31,False
BUS-000267,Quantum Bakery,Free,1,0.0,2024-05-28,2027-05-28,False
BUS-000268,Harbor Consulting,Mid,14,82.97,2025-08-04,2026-08-04,True
BUS-000269,Nova Logistics,Mid,13,62.52,2023-08-28,2026-08-27,False
BUS-000270,Stellar Trading,Mid,10,32.59,2025-03-18,2027-03-18,True
BUS-000271,Apex Partners,Free,2,0.0,2023-06-14,2026-06-13,False
BUS-000272,Summit Auto,Free,3,0.0,2025-04-08,2027-04-08,False
BUS-000273,Cedar Bakery,Premium,16,669.48,2024-06-24,2026-06-24,False
BUS-000274,Apex Media,Mid,9,92.26,2023-11-16,2026-11-15,False
BUS-000275,Cedar Logistics,Premium,73,565.24,2024-04-12,2027-04-12,False
BUS-000276,Harbor Bakery,Mid,4,60.14,2025-04-30,2027-04-30,False
BUS-000277,Summit Works,Free,3,0.0,2024-09-06,2026-09-06,False
BUS-000278,Globex Auto,Mid,9,41.67,2023-11-07,2026-11-06,False
BUS-000279,Apex Auto,Mid,9,49.22,2026-01-07,2027-01-07,True
BUS-000280,Acme Studios,Free,3,0.0,2025-06-11,2026-06-11,False
BUS-000281,Quantum Auto,Mid,13,84.69,2026-02-22,2027-02-22,True
BUS-000282,Nova Works,Free,3,0.0,2026-02-27,2027-02-27,False
BUS-000283,Nova Auto,Premium,57,416.36,2025-11-28,2026-11-28,False
BUS-000284,Quantum Bakery,Free,3,0.0,2024-10-11,2026-10-11,False
BUS-000285,Apex Bakery,Free,1,0.0,2023-07-17,2026-07-16,False
BUS-000286,Stellar Health,Free,2,0.0,2023-11-03,2026-11-02,False
BUS-000287,Iron Consulting,Mid,10,44.01,2025-07-31,2026-07-31,False
BUS-000288,Pioneer Logistics,Premium,66,748.36,2024-07-19,2026-07-19,False
BUS-000289,Vertex Consulting,Free,2,0.0,2024-08-28,2026-08-28,False
BUS-000290,Quantum Partners,Mid,11,45.7,2025-03-19,2027-03-19,False
BUS-000291,Iron Studios,Free,3,0.0,2024-04-09,2027-04-09,False
BUS-000292,Cobalt Group,Mid,4,34.6,2024-02-09,2027-02-08,False
BUS-000293,Initech Works,Mid,16,70.24,2025-08-21,2026-08-21,False
BUS-000294,Nova Consulting,Free,3,0.0,2024-05-29,2027-05-29,False
BUS-000295,Nova Health,Mid,5,60.28,2026-01-11,2027-01-11,False
BUS-000296,Pioneer Health,Free,2,0.0,2025-01-28,2027-01-28,False
BUS-000297,Summit Logistics,Mid,7,43.74,2024-10-19,2026-10-19,True
BUS-000298,Vertex Media,Free,1,0.0,2025-06-23,2026-06-23,False
BUS-000299,Cedar Retail,Mid,12,32.88,2026-03-07,2027-03-07,True
BUS-000300,Summit Health,Mid,9,73.27,2026-03-03,2027-03-03,False
BUS-000301,Summit Works,Free,3,0.0,2024-01-24,2027-01-23,False
BUS-000302,Iron Group,Free,1,0.0,2025-06-15,2026-06-15,False
BUS-000303,Nova Media,Free,1,0.0,2024-06-07,2026-06-07,False
BUS-000304,Apex Studios,Premium,50,590.52,2024-05-27,2027-05-27,False
BUS-000305,Umbra Builders,Mid,11,69.32,2024-07-20,2026-07-20,False
BUS-000306,Globex Health,Free,1,0.0,2025-10-18,2026-10-18,False
BUS-000307,Harbor Media,Premium,88,400.88,2025-06-11,2026-06-11,False
BUS-000308,Iron Partners,Free,1,0.0,2023-07-19,2026-07-18,False
BUS-000309,Iron Foods,Premium,73,163.91,2024-02-19,2027-02-18,False
BUS-000310,Globex Health,Free,2,0.0,2026-01-25,2027-01-25,False
BUS-000311,Summit Labs,Free,3,0.0,2023-09-14,2026-09-13,False
BUS-000312,Apex Auto,Mid,9,39.38,2024-11-09,2026-11-09,False
BUS-000313,Pioneer Health,Free,1,0.0,2025-04-01,2027-04-01,False
BUS-000314,Cedar Bakery,Free,3,0.0,2023-10-25,2026-10-24,False
BUS-000315,Pioneer Media,Free,1,0.0,2024-02-18,2027-02-17,False
BUS-000316,Apex Trading,Mid,8,82.85,2025-03-23,2027-03-23,False
BUS-000317,Cobalt Works,Free,1,0.0,2024-06-21,2026-06-21,False
BUS-000318,Harbor Media,Free,3,0.0,2025-07-22,2026-07-22,False
BUS-000319,Harbor Partners,Free,3,0.0,2024-08-30,2026-08-30,False
BUS-000320,Umbra Group,Mid,7,63.24,2026-03-31,2027-03-31,False
BUS-000321,Cedar Foods,Mid,15,92.91,2026-03-11,2027-03-11,False
BUS-000322,Apex Studios,Mid,12,63.63,2023-05-27,2027-05-26,False
BUS-000323,Iron Media,Mid,6,32.21,2025-09-21,2026-09-21,False
BUS-000324,Bright Partners,Free,2,0.0,2025-03-13,2027-03-13,False
BUS-000325,Stellar Media,Premium,17,573.47,2023-06-07,2026-06-06,False
BUS-000326,Vertex Works,Premium,71,465.29,2024-07-31,2026-07-31,False
BUS-000327,Cobalt Retail,Premium,53,477.76,2024-11-09,2026-11-09,False
BUS-000328,Summit Health,Premium,45,484.85,2025-01-29,2027-01-29,False
BUS-000329,Cedar Health,Mid,14,79.35,2024-07-24,2026-07-24,False
BUS-000330,Apex Auto,Free,3,0.0,2024-03-18,2027-03-18,False
BUS-000331,Initech Auto,Premium,28,324.27,2024-09-22,2026-09-22,False
BUS-000332,Stellar Retail,Premium,93,303.87,2023-08-27,2026-08-26,False
BUS-000333,Quantum Foods,Mid,7,95.31,2024-10-25,2026-10-25,True
BUS-000334,Quantum Trading,Free,3,0.0,2025-01-27,2027-01-27,False
BUS-000335,Umbra Studios,Free,2,0.0,2023-09-10,2026-09-09,False
BUS-000336,Bright Partners,Free,3,0.0,2025-06-15,2026-06-15,False
BUS-000337,Harbor Health,Free,1,0.0,2024-09-23,2026-09-23,False
BUS-000338,Globex Consulting,Mid,17,83.81,2025-01-14,2027-01-14,False
BUS-000339,Apex Partners,Free,1,0.0,2026-02-19,2027-02-19,False
BUS-000340,Globex Labs,Free,3,0.0,2024-09-19,2026-09-19,False
BUS-000341,Harbor Health,Free,3,0.0,2025-09-27,2026-09-27,False
BUS-000342,Cobalt Studios,Free,3,0.0,2023-05-27,2027-05-26,False
BUS-000343,Harbor Consulting,Premium,69,313.7,2025-09-16,2026-09-16,False
BUS-000344,Harbor Health,Mid,13,48.01,2025-04-18,2027-04-18,True
BUS-000345,Harbor Logistics,Mid,15,43.52,2024-01-25,2027-01-24,False
BUS-000346,Nova Partners,Free,1,0.0,2025-04-21,2027-04-21,False
BUS-000347,Cedar Supply,Free,1,0.0,2026-04-21,2027-04-21,False
